Unnamed: 0,Location,Date Published,Total Cases,Total Deaths,Pct Cases Black/AA,Pct Deaths Black/AA,Date Run,Status code,Count Cases Black/AA,Count Deaths Black/AA,Pct Includes Unknown Race,Pct Includes Hispanic Black,Count Cases Known Race,Count Deaths Known Race,Black/AA Population,Pct Black/AA Population,Date/Time Run,Date Run.1,Date/Time Run.1
,Michigan,2020-05-21,53510.0,5129.0,31.0,40.0,2020-05-22,Success!,16588.0,2052.0,,,,,,,,,
,Massachusetts,2020-05-21 00:00:00,90084.0,6148.0,8.76,5.09,2020-05-22,Success!,7892.0,313.0,,,,,,,,,
,Texas -- Bexar County,2020-05-21,1805.0,54.0,11.58,27.78,2020-05-22,Success!,209.0,15.0,,,,,,,,,
,Minnesota,<built-in method date of datetime.datetime object at 0x11e2ab210>,18200.0,809.0,22.76,5.32,2020-05-22,Success!,4142.0,43.0,,,,,,,,,
,Florida,,,,,,2020-05-22,"An error occurred. ... AttributeError(""'NoneType' object has no attribute 'group'"")",,,,,,,,,,,
,"Washington, DC",2020-05-21 00:00:00,7788.0,412.0,45.84,76.7,2020-05-22,Success!,3570.0,316.0,,,,,,,,,
,California - San Diego,2020-05-21 03:15:28.537258,6315.0,241.0,3.07,2.07,2020-05-22,Success!,194.0,5.0,,,,,,,,,
,Georgia,,,,,,2020-05-22,An error occurred. ... KeyError('AFRICAN-AMERICAN'),,,,,,,,,,,
,Virginia,2020-05-21 00:00:00,34137.0,1099.0,15.26,21.02,2020-05-22,Success!,5209.0,231.0,,,,,,,,,
,North Carolina,,,,,,2020-06-07,An error occurred. ... ValueError('Unable to extract date from table header.'),,,,,,,,,,,
,Wisconsin -- Milwaukee,2020-06-07,8827.0,296.0,28.57,1.44,2020-06-07,Success!,2522.0,127.0,,,,,,,,,
,Michigan,,,,,,2020-06-07,"An error occurred. ... UnboundLocalError(""local variable 'date_published' referenced before assignment"")",,,,,,,,,,,
,Massachusetts,2020-06-07 00:00:00,103436.0,7316.0,9.28,8.28,2020-06-07,Success!,9600.0,606.0,,,,,,,,,
,Texas -- Bexar County,2020-06-07,1805.0,54.0,14.9,31.48,2020-06-07,Success!,269.0,17.0,,,,,,,,,
,Minnesota,,,,,,2020-06-07,"An error occurred. ... AttributeError(""'NoneType' object has no attribute 'group'"")",,,,,,,,,,,
,Florida,,,,,,2020-06-07,"An error occurred. ... NotADirectoryError(20, 'Not a directory')",,,,,,,,,,,
,"Washington, DC",2020-06-05 00:00:00,9199.0,479.0,45.91,74.53,2020-06-07,Success!,4223.0,357.0,,,,,,,,,
,California - San Diego,2020-06-06 23:30:21.801049,8476.0,296.0,3.01,2.7,2020-06-07,Success!,255.0,8.0,,,,,,,,,
,Georgia,,,,,,2020-06-07,An error occurred. ... StopIteration(),,,,,,,,,,,
,Virginia,2020-06-06 00:00:00,49397.0,1460.0,13.97,20.34,2020-06-07,Success!,6900.0,297.0,,,,,,,,,
,Florida,,,,,,2020-06-08,"An error occurred. ... NotADirectoryError(20, 'Not a directory')",,,,,,,,,,,
,North Carolina,,,,,,2020-06-09,An error occurred. ... ValueError('Unable to extract date from table header.'),,,,,,,,,,,
,Wisconsin -- Milwaukee,2020-06-08,8925.0,300.0,28.54,1.45,2020-06-09,Success!,2547.0,129.0,,,,,,,,,
,Michigan,,,,,,2020-06-09,"An error occurred. ... UnboundLocalError(""local variable 'date_published' referenced before assignment"")",,,,,,,,,,,
,Massachusetts,2020-06-08 00:00:00,103626.0,7353.0,9.28,8.31,2020-06-09,Success!,9617.0,611.0,,,,,,,,,
,Texas -- Bexar County,2020-06-08,1805.0,54.0,15.12,31.48,2020-06-09,Success!,273.0,17.0,,,,,,,,,
,Minnesota,2020-06-08,28224.0,1197.0,21.99,6.35,2020-06-09,Success!,6207.0,76.0,,,,,,,,,
,Florida,06/08/2020,63378.0,2712.0,18.44,20.06,2020-06-09,Success!,11690.0,544.0,,,,,,,,,
,"Washington, DC",2020-06-08 00:00:00,9389.0,491.0,45.94,74.75,2020-06-09,Success!,4313.0,367.0,,,,,,,,,
,California - San Diego,2020-06-08 06:45:28.769909,8619.0,296.0,2.98,2.7,2020-06-09,Success!,257.0,8.0,,,,,,,,,
,Georgia,2020-06-08,52497.0,2208.0,31.5,48.78,2020-06-09,Success!,16538.0,1077.0,,,,,,,,,
,Virginia,2020-06-08 00:00:00,51251.0,1477.0,13.74,20.31,2020-06-09,Success!,7043.0,300.0,,,,,,,,,
,Alabama,2020-06-10,21626.0,739.0,42.64,45.06,2020-06-10,Success!,9221.0,333.0,,,,,,,,,
,Arkansas,2020-06-10,593.0,11.0,2.7,0.0,2020-06-10,Success!,16.0,0.0,,,,,,,,,
,California,2020-06-09,97336.0,4600.0,4.8,9.8,2020-06-10,Success!,4713.0,451.0,,,,,,,,,
,California - San Diego,2020-06-09 23:57:39.114118,8729.0,301.0,2.98,2.99,2020-06-10,Success!,260.0,9.0,,,,,,,,,
,Colorado,2020-06-10,28499.0,1573.0,5.88,6.74,2020-06-10,Success!,1676.0,106.0,,,,,,,,,
,Florida,2020-06-10,65779.0,2801.0,18.54,19.92,2020-06-10,Success!,12198.0,558.0,,,,,,,,,
,Georgia,2020-06-10,53980.0,2329.0,31.43,48.22,2020-06-10,Success!,16965.0,1123.0,,,,,,,,,
,Massachusetts,2020-06-10 00:00:00,104156.0,7454.0,9.34,8.32,2020-06-10,Success!,9729.0,620.0,,,,,,,,,
,Michigan,,,,,,2020-06-10,"An error occurred. ... UnboundLocalError(""local variable 'date_published' referenced before assignment"")",,,,,,,,,,,
,Minnesota,2020-06-10,28869.0,1236.0,21.97,6.31,2020-06-10,Success!,6342.0,78.0,,,,,,,,,
,North Carolina,,,,,,2020-06-10,An error occurred. ... ValueError('Unable to extract date from table header.'),,,,,,,,,,,
,Texas -- Bexar County,2020-06-10,1805.0,54.0,15.51,31.48,2020-06-10,Success!,280.0,17.0,,,,,,,,,
,Virginia,2020-06-09 00:00:00,51738.0,1496.0,13.83,20.79,2020-06-10,Success!,7154.0,311.0,,,,,,,,,
,"Washington, DC",2020-06-09 00:00:00,9474.0,495.0,45.71,74.14,2020-06-10,Success!,4331.0,367.0,,,,,,,,,
,Wisconsin -- Milwaukee,2020-06-10,9161.0,306.0,28.35,1.41,2020-06-10,Success!,2597.0,129.0,,,,,,,,,
,North Carolina,,,,,,2020-06-16,An error occurred. ... ValueError('Unable to extract date from table header.'),,,,,,,,,,,
,Wisconsin -- Milwaukee,2020-06-15,9610.0,319.0,28.1,1.38,2020-06-16,Success!,2700.0,133.0,,,,,,,,,
,Alabama,2020-06-15,25892.0,769.0,41.21,45.64,2020-06-16,Success!,10670.0,351.0,,,,,,,,,
,Michigan,,,,,,2020-06-16,"An error occurred. ... UnboundLocalError(""local variable 'date_published' referenced before assignment"")",,,,,,,,,,,
,Arkansas,2020-06-15,664.0,12.0,2.6,0.0,2020-06-16,Success!,17.0,0.0,,,,,,,,,
,Massachusetts,2020-06-15 00:00:00,105690.0,7647.0,9.34,8.24,2020-06-16,Success!,9873.0,630.0,,,,,,,,,
,Missouri,2020-06-13,16189.0,828.0,30.38,35.15,2020-06-16,Success!,3760.0,246.0,,,,,,,,,
,Mississippi,,,,,,2020-06-16,"An error occurred. ... AttributeError(""'list' object has no attribute 'iloc'"")",,,,,,,,,,,
,Texas -- Bexar County,2020-06-15,1805.0,54.0,17.17,31.48,2020-06-16,Success!,310.0,17.0,,,,,,,,,
,Minnesota,2020-06-15,30693.0,1304.0,21.66,7.06,2020-06-16,Success!,6649.0,92.0,,,,,,,,,
,California,2020-06-14,107199.0,4935.0,4.7,9.5,2020-06-16,Success!,4999.0,471.0,,,,,,,,,
,Florida,2020-06-15,75388.0,2938.0,17.81,19.98,2020-06-16,Success!,13426.0,587.0,,,,,,,,,
,"Washington, DC",2020-06-16 00:00:00,9818.0,520.0,50.07,74.04,2020-06-16,Success!,4916.0,385.0,,,,,,,,,
,Colorado,,,,,,2020-06-16,"An error occurred. ... DefaultCredentialsError('Could not automatically determine credentials. Please set GOOGLE_APPLICATION_CREDENTIALS or explicitly create credentials and re-run the application. For more information, please see https://cloud.google.com/docs/authentication/getting-started')",,,,,,,,,,,
,California - San Diego,2020-06-15 09:16:53.863210,9610.0,282.0,3.04,3.19,2020-06-16,Success!,292.0,9.0,,,,,,,,,
,Georgia,2020-06-15,58414.0,2494.0,30.48,47.91,2020-06-16,Success!,17807.0,1195.0,,,,,,,,,
,Virginia,2020-06-16 00:00:00,55331.0,1570.0,14.09,21.46,2020-06-16,Success!,7795.0,337.0,,,,,,,,,
,Indiana,2020-06-15,40430.0,2251.0,12.87,15.19,2020-06-16,Success!,5202.0,342.0,,,,,,,,,
,Kentucky,,,,,,2020-06-16,"An error occurred. ... NameError(""name 'download_file' is not defined"")",,,,,,,,,,,
,California - Los Angeles,2020-06-14,73791.0,2926.0,3.27,10.56,2020-06-16,Success!,2416.0,309.0,,,,,,,,,
,North Carolina,,,,,,2020-06-25,An error occurred. ... ValueError('Unable to extract date from table header.'),,,,,,,,,,,
,Wisconsin -- Milwaukee,2020-06-24,10582.0,342.0,27.81,1.3,2020-06-25,Success!,2943.0,138.0,,,,,,,,,
,Alabama,2020-06-25,32753.0,880.0,39.25,46.02,2020-06-25,Success!,12855.0,405.0,,,,,,,,,
,Michigan,,,,,,2020-06-25,"An error occurred. ... UnboundLocalError(""local variable 'date_published' referenced before assignment"")",,,,,,,,,,,
,Arkansas,,,,,,2020-06-25,An error occurred. ... KeyError('Deaths'),,,,,,,,,,,
,Massachusetts,2020-06-24 00:00:00,107611.0,7938.0,9.37,8.23,2020-06-25,Success!,10080.0,653.0,,,,,,,,,
,Missouri,2020-06-20,18868.0,922.0,28.66,35.15,2020-06-25,Success!,3760.0,246.0,,,,,,,,,
,Mississippi,,,,,,2020-06-25,"An error occurred. ... AttributeError(""'list' object has no attribute 'iloc'"")",,,,,,,,,,,
,Texas -- Bexar County,2020-06-24,1805.0,54.0,20.78,31.48,2020-06-25,Success!,375.0,17.0,,,,,,,,,
,Minnesota,2020-06-24,33763.0,1397.0,21.31,7.44,2020-06-25,Success!,7195.0,104.0,,,,,,,,,
,California,2020-06-23,130910.0,5431.0,4.5,9.4,2020-06-25,Success!,5845.0,511.0,,,,,,,,,
,Florida,2020-06-24,106743.0,3281.0,16.17,20.15,2020-06-25,Success!,17265.0,661.0,,,,,,,,,
,"Washington, DC",2020-06-25 00:00:00,10159.0,543.0,50.0,74.03,2020-06-25,Success!,5080.0,402.0,,,,,,,,,
,Colorado,,,,,,2020-06-25,"An error occurred. ... DefaultCredentialsError('Could not automatically determine credentials. Please set GOOGLE_APPLICATION_CREDENTIALS or explicitly create credentials and re-run the application. For more information, please see https://cloud.google.com/docs/authentication/getting-started')",,,,,,,,,,,
,California - San Diego,2020-06-24 10:23:59.474665,11626.0,347.0,3.3,2.88,2020-06-25,Success!,384.0,10.0,,,,,,,,,
,Georgia,2020-06-24,69381.0,2698.0,29.98,47.78,2020-06-25,Success!,20798.0,1289.0,,,,,,,,,
,Virginia,2020-06-25 00:00:00,59946.0,1675.0,14.22,21.85,2020-06-25,Success!,8523.0,366.0,,,,,,,,,
,Indiana,2020-06-24,43140.0,2386.0,12.52,14.79,2020-06-25,Success!,5399.0,353.0,,,,,,,,,
,Kentucky,,,,,,2020-06-25,"An error occurred. ... NameError(""name 'download_file' is not defined"")",,,,,,,,,,,
,California - Los Angeles,2020-06-23,89490.0,3205.0,2.97,10.51,2020-06-25,Success!,2654.0,337.0,,,,,,,,,
,Colorado,2020-06-27,32022.0,1674.0,5.44,6.51,2020-06-27,Success!,1742.0,108,True,False,,,,,,,
,Washington,2020-06-28,31752.0,1310.0,6.0,3.0,2020-06-28,Success!,1311.0,40.0,False,False,,,,,,,
,Wisconsin,2020-06-28,27743.0,777.0,19.6,23.92,2020-06-28,Success!,4866.0,183.0,False,True,,,,,,,
,Wisconsin -- Milwaukee,2020-06-28,11064.0,352.0,30.26,40.06,2020-06-28,Success!,3092.0,141.0,False,False,,,,,,,
,Rhode Island,2020-06-22,15948.0,903.0,12.31,6.18,2020-06-28,Success!,1535.0,46.0,False,False,,,,,,,
,Maine,2020-06-28,3191.0,104.0,27.1,,2020-06-28,Success!,761.0,,False,True,,,,,,,
,Maryland,2020-06-28,66777.0,3042.0,28.64,40.7,2020-06-28,Success!,19122.0,1238.0,False,False,,,,,,,
,Alabama,2020-06-28,34964.0,898.0,47.85,47.42,2020-06-28,Success!,13430.0,413.0,False,False,,,,,,,
,Michigan,2020-06-28,63187.0,5833.0,30.87,40.13,2020-06-28,Success!,19505.0,2341.0,True,False,,,,,,,
,Montana,2020-06-28,863.0,22.0,0.46,,2020-06-28,Success!,4.0,,True,True,,,,,,,
,Alaska,2020-06-28,883.0,14.0,2.6,0.0,2020-06-28,Success!,23.0,0.0,True,True,,,,,,,
,Massachusetts,2020-06-28,108667.0,8060.0,9.35,8.25,2020-06-28,Success!,10162.0,665.0,True,False,,,,,,,
,Missouri,2020-06-27,20261.0,996.0,40.16,38.56,2020-06-28,Success!,3760.0,246.0,False,True,,,,,,,
,Utah,2020-06-28,21100.0,167.0,2.8,,2020-06-28,Success!,584.0,<5,True,False,,,,,,,
,Mississippi,2020-06-28,11766.0,506.0,230.7,208.7,2020-06-28,Success!,27144.0,1056,True,True,,,,,,,
,Texas -- Bexar County,2020-06-28,10147.0,109.0,7.32,15.6,2020-06-28,Success!,430.0,17.0,False,False,,,,,,,
,Minnesota,2020-06-28,35549.0,1425.0,20.98,8.07,2020-06-28,Success!,7457.0,115,True,True,,,,,,,
,Texas,2020-06-28,21262.0,662.0,11.92,12.84,2020-06-28,Success!,2535.0,85,True,False,,,,,,,
,Delaware,2020-06-28,11226.0,507.0,26.46,25.64,2020-06-28,Success!,2970.0,130,True,False,,,,,,,
,California,2020-06-27,142819.0,5711.0,4.4,9.3,2020-06-28,Success!,6309.0,533,False,True,,,,,,,
,Vermont,2020-06-28,1.0,0.0,9.65,0.0,2020-06-28,Success!,113.0,0,False,True,,,,,,,
,New Mexico,2020-06-28,11809.0,492.0,1.92,,2020-06-28,Success!,227.0,,True,False,,,,,,,
,Florida,2020-06-28,138567.0,3419.0,14.46,20.04,2020-06-28,Success!,20042.0,685,True,False,,,,,,,
,"Washington, DC",2020-06-28,10248.0,550.0,49.93,73.45,2020-06-28,Success!,5117.0,404,True,True,,,,,,,
,Colorado,2020-06-28,32307.0,1676.0,5.41,6.5,2020-06-28,Success!,1747.0,108,True,False,,,,,,,
,California - San Diego,2020-06-28,13334.0,361.0,4.24,3.07,2020-06-28,Success!,457.0,11,False,False,,,,,,,
,Georgia,2020-06-28,77210.0,2778.0,28.74,47.48,2020-06-28,Success!,22192.0,1319,True,True,,,,,,,
,Virginia,2020-06-28,61736.0,1732.0,14.21,21.88,2020-06-28,Success!,8771.0,379,True,True,,,,,,,
,Indiana,2020-06-28,44930.0,2427.0,12.27,14.63,2020-06-28,Success!,5513.0,355,True,True,,,,,,,
,Kentucky,2020-06-28,15232.0,558.0,17.24,4.19,2020-06-28,Success!,1821.0,22,False,True,,,,,,,
,California - Los Angeles,2020-06-27,97894.0,3305.0,2.85,10.62,2020-06-28,Success!,2791.0,351,True,False,,,,,,,
,Texas,2020-06-29,21290.0,662.0,11.92,12.84,2020-06-29,Success!,2537.0,85.0,True,False,,,,,,,
,Texas -- Bexar County,2020-06-29,10147.0,109.0,7.32,15.6,2020-06-29,Success!,430.0,17.0,False,False,,,,,,,
,Rhode Island,2020-06-29,16226.0,946.0,12.33,6.11,2020-06-29,Success!,1573.0,47.0,False,False,,,,,,,
,Utah,2020-06-29,21664.0,168.0,2.7,,2020-06-29,Success!,593.0,<5,True,False,,,,,,,
,Kentucky,2020-06-29,15347.0,560.0,17.19,4.18,2020-06-29,Success!,1816.0,22,False,True,,,,,,,
,California - San Diego,2020-06-28,13334.0,361.0,4.24,3.07,2020-06-29,Success!,457.0,11,False,False,,,,,,,
,Virginia,2020-06-29,62189.0,1740.0,14.21,21.9,2020-06-29,Success!,8838.0,381,True,True,,,,,,,
,New Mexico,2020-06-29,11982.0,493.0,1.92,,2020-06-29,Success!,230.0,,True,False,,,,,,,
,Alabama,2020-06-29,36682.0,905.0,47.78,47.49,2020-06-29,Success!,13740.0,417,False,False,,,,,,,
,California - Los Angeles,2020-06-28,100772.0,3326.0,2.8,10.61,2020-06-29,Success!,2818.0,353,True,False,,,,,,,
,Maryland,2020-06-29,67254.0,3048.0,28.54,40.72,2020-06-29,Success!,19191.0,1241,False,False,,,,,,,
,Mississippi,2020-06-29,26567.0,517.0,49.92,208.12,2020-06-29,Success!,13261.0,1076,True,True,,,,,,,
,Florida,2020-06-29,143805.0,3447.0,14.24,19.99,2020-06-29,Success!,20484.0,689,True,False,,,,,,,
,Montana,,,,,,2020-06-29,"An error occurred. ... SSLError(MaxRetryError(""HTTPSConnectionPool(host='dphhs.mt.gov', port=443): Max retries exceeded with url: /publichealth/cdepi/diseases/coronavirusmt/demographics (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1108)')))""))",,,False,False,,,,,,,
,Vermont,2020-06-29,1.0,0.0,9.62,0.0,2020-06-29,Success!,113.0,0,False,True,,,,,,,
,Colorado,2020-06-29,32511.0,1682.0,5.42,6.48,2020-06-29,Success!,1762.0,108,True,False,,,,,,,
,Michigan,2020-06-29,63424.0,5838.0,30.81,40.1,2020-06-29,Success!,19541.0,2341,True,False,,,,,,,
,California,2020-06-28,146393.0,5751.0,4.4,9.5,2020-06-29,Success!,6445.0,544,False,True,,,,,,,
,Indiana,2020-06-29,45228.0,2432.0,12.37,14.6,2020-06-29,Success!,5595.0,355,True,True,,,,,,,
,Alaska,2020-06-29,904.0,14.0,2.54,0.0,2020-06-29,Success!,23.0,0.0,True,True,,,,,,,
,Wisconsin,2020-06-29,28058.0,777.0,19.65,23.92,2020-06-29,Success!,4934.0,183,False,True,,,,,,,
,Georgia,2020-06-29,79417.0,2784.0,28.23,47.41,2020-06-29,Success!,22417.0,1320,True,True,,,,,,,
,Washington,2020-06-29,32253.0,1320.0,6.0,3.0,2020-06-29,Success!,1331.0,42,False,False,,,,,,,
,"Washington, DC",2020-06-28,10248.0,550.0,49.93,73.45,2020-06-29,Success!,5117.0,404,True,True,,,,,,,
,Delaware,2020-06-29,11376.0,507.0,26.43,25.64,2020-06-29,Success!,3007.0,130,True,False,,,,,,,
,Maine,2020-06-29,3219.0,105.0,27.07,,2020-06-29,Success!,768.0,,False,True,,,,,,,
,Minnesota,2020-06-29,35861.0,1435.0,20.92,8.22,2020-06-29,Success!,7503.0,118,True,True,,,,,,,
,Massachusetts,2020-06-29,108768.0,8095.0,9.37,8.23,2020-06-29,Success!,10190.0,666,True,False,,,,,,,
,Wisconsin -- Milwaukee,2020-06-29,11232.0,354.0,30.45,40.11,2020-06-29,Success!,3163.0,142,False,False,,,,,,,
,Missouri,2020-06-27,20261.0,996.0,49.66,38.56,2020-06-29,Success!,5758.0,246,False,True,,,,,,,
,Massachusetts,2020-06-30,108882.0,8054.0,9.38,8.23,2020-06-30,Success!,10209.0,663.0,True,False,,,,,,,
,Washington,2020-06-30,32824.0,1332.0,6.0,3.0,2020-06-30,Success!,1343.0,42.0,False,False,,,,,,,
,Colorado,2020-06-30,32715.0,1690.0,5.41,6.51,2020-06-30,Success!,1769.0,110.0,True,False,,,,,,,
,Florida,2020-06-30,149781.0,3505.0,14.2,19.89,2020-06-30,Success!,21268.0,697.0,True,False,,,,,,,
,Maine,2020-06-30,3253.0,105.0,26.87,,2020-06-30,Success!,771.0,,False,True,,,,,,,
,Georgia,2020-06-30,81291.0,2805.0,28.66,47.34,2020-06-30,Success!,23294.0,1328.0,True,True,,,,,,,
,Mississippi,2020-06-30,27247.0,523.0,49.83,208.41,2020-06-30,Success!,13577.0,1090.0,True,True,,,,,,,
,California - Los Angeles,,,,,,2020-06-30,An error occurred. ... JSONDecodeError('Expecting property name enclosed in double quotes: line 9 column 13 (char 313)'),,,False,False,,,,,,,
,Utah,2020-06-30,22217.0,172.0,2.7,,2020-06-30,Success!,600.0,<5,True,False,,,,,,,
,Wisconsin -- Milwaukee,2020-06-30,11397.0,355.0,30.6,40.28,2020-06-30,Success!,3230.0,143,False,False,,,,,,,
,Texas,2020-06-30,21361.0,662.0,11.93,12.84,2020-06-30,Success!,2548.0,85,True,False,,,,,,,
,Missouri,2020-06-27,20261.0,996.0,49.66,38.56,2020-06-30,Success!,5758.0,246,False,True,,,,,,,
,Virginia,2020-06-30,62787.0,1763.0,14.22,21.84,2020-06-30,Success!,8931.0,385,True,True,,,,,,,
,Rhode Island,2020-06-29,16226.0,946.0,12.33,6.11,2020-06-30,Success!,1573.0,47,False,False,,,,,,,
,"Washington, DC",2020-06-30,10327.0,551.0,49.81,73.5,2020-06-30,Success!,5144.0,405,True,True,,,,,,,
,Delaware,2020-06-30,11474.0,509.0,26.32,25.54,2020-06-30,Success!,3020.0,130,True,False,,,,,,,
,Alabama,2020-06-30,37536.0,926.0,47.54,47.22,2020-06-30,Success!,14043.0,424,False,False,,,,,,,
,New Mexico,2020-06-30,12147.0,497.0,1.91,,2020-06-30,Success!,232.0,,True,False,,,,,,,
,Vermont,2020-06-30,1.0,0.0,9.62,0.0,2020-06-30,Success!,113.0,0,False,True,,,,,,,
,Michigan,2020-06-30,63794.0,5869.0,30.76,40.01,2020-06-30,Success!,19626.0,2348,True,False,,,,,,,
,Alaska,2020-06-30,940.0,14.0,2.55,0.0,2020-06-30,Success!,24.0,0.0,True,True,,,,,,,
,California,2020-06-29,150216.0,5811.0,4.4,9.5,2020-06-30,Success!,6557.0,551,False,True,,,,,,,
,Maryland,,,,,,2020-06-30,"An error occurred. ... OSError(8, 'Exec format error')",,,False,False,,,,,,,
,California - San Diego,2020-06-29,13832.0,361.0,4.32,3.07,2020-06-30,Success!,478.0,11,False,False,,,,,,,
,Minnesota,2020-06-30,36303.0,1441.0,20.84,8.33,2020-06-30,Success!,7565.0,120,True,True,,,,,,,
,Kentucky,2020-06-30,15624.0,565.0,14.22,16.1,2020-06-30,Success!,1543.0,85,False,True,,,,,,,
,Indiana,2020-06-30,45594.0,2448.0,12.31,14.5,2020-06-30,Success!,5614.0,355,True,True,,,,,,,
