2020-07-26 19:05:50,571 INFO covid19_scrapers.web_cache:  Connecting web cache to DB: work\web_cache.db
2020-07-26 19:05:50,572 DEBUG covid19_scrapers.web_cache:  Creating DB table
2020-07-26 19:05:50,573 DEBUG covid19_scrapers.scoped_resource:  Setting WebCache instance: <WebCache db=work\web_cache.db>
2020-07-26 19:05:50,573 DEBUG covid19_scrapers.scoped_resource:  Entering WebCache scope: <WebCache db=work\web_cache.db>
2020-07-26 19:05:50,580 DEBUG covid19_scrapers.web_cache:  Found cache entry: https://www2.census.gov/programs-surveys/popest/geographies/2018/all-geocodes-v2018.xlsx
2020-07-26 19:05:50,580 DEBUG covid19_scrapers.web_cache:  Response is fresh: max_age=14400.0 > age=7892.866057
2020-07-26 19:05:50,580 DEBUG covid19_scrapers.web_cache:  Cache hit: returning cached response
2020-07-26 19:05:56,627 DEBUG covid19_scrapers.scoped_resource:  Exiting WebCache scope: <WebCache db=work\web_cache.db>
2020-07-26 19:05:56,628 DEBUG covid19_scrapers.registry:  Registering scraper: Alabama: Alabama
2020-07-26 19:05:56,628 DEBUG covid19_scrapers.registry:  Registering scraper: Alaska: Alaska
2020-07-26 19:05:56,628 DEBUG covid19_scrapers.registry:  Registering scraper: Arizona: Arizona
2020-07-26 19:05:56,628 DEBUG covid19_scrapers.registry:  Registering scraper: Arkansas: Arkansas
2020-07-26 19:05:56,629 DEBUG covid19_scrapers.registry:  Registering scraper: California: California
2020-07-26 19:05:56,629 DEBUG covid19_scrapers.registry:  Registering scraper: CaliforniaLosAngeles: California - Los Angeles
2020-07-26 19:05:56,629 DEBUG covid19_scrapers.registry:  Registering scraper: CaliforniaSanDiego: California - San Diego
2020-07-26 19:05:56,629 DEBUG covid19_scrapers.registry:  Registering scraper: CaliforniaSanFrancisco: California - San Francisco
2020-07-26 19:05:56,630 DEBUG covid19_scrapers.registry:  Registering scraper: Colorado: Colorado
2020-07-26 19:05:56,630 DEBUG covid19_scrapers.registry:  Registering scraper: Connecticut: Connecticut
2020-07-26 19:05:56,630 DEBUG covid19_scrapers.registry:  Registering scraper: Delaware: Delaware
2020-07-26 19:05:56,631 DEBUG covid19_scrapers.registry:  Registering scraper: Florida: Florida
2020-07-26 19:05:56,631 DEBUG covid19_scrapers.registry:  Registering scraper: FloridaMiamiDade: Florida -- Miami-Dade County
2020-07-26 19:05:56,632 DEBUG covid19_scrapers.registry:  Registering scraper: FloridaOrange: Florida -- Orange County
2020-07-26 19:05:56,632 DEBUG covid19_scrapers.registry:  Registering scraper: Georgia: Georgia
2020-07-26 19:05:56,632 DEBUG covid19_scrapers.registry:  Registering scraper: Idaho: Idaho
