Location,Date Published,Total Cases,Total Deaths,Count Cases Black/AA,Count Deaths Black/AA,Pct Cases Black/AA,Pct Deaths Black/AA,Pct Includes Unknown Race,Pct Includes Hispanic Black,Count Cases Known Race,Count Deaths Known Race,Black/AA Population,Pct Black/AA Population,Status code
Illinois,2020-07-30,176896.0,7478.0,29321.0,2051.0,16.58,27.43,True,False,,,1824125,14.23,Success!
Louisiana,2020-07-29,114481.0,3811.0,41962.0,1884.0,44.38,50.36,False,True,94556.0,3741.0,1502916,32.23,Success!
Washington,2020-07-30,55803.0,1564.0,2090.0,49.0,5.5,3.22,False,False,38034.0,1523.0,269854,3.7,Success!
North Carolina,2020-07-30,120194.0,1903.0,20763.0,580.0,24.04,31.61,False,True,86359.0,1835.0,2179622,21.46,Success!
Wyoming,,,,,,,,False,False,,,5540,0.95,An error occurred. ... JSONDecodeError('Expecting value: line 1 column 1 (char 0)')
NewYork,,,,,,,,False,False,,,,,"An error occurred. ... AssertionError(""Key not in dashboard_sections. Valid keys for this data: ['Click Here (Desktop)', 'DASHBOARD 1 DATE (2)', 'Fatalaties by Age Group', 'Fatalaties by County', 'Fatalities by Sex (desktop)', 'PDF Hyperlink (NH)', 'Race', 'Top 10 Comorbid Header', 'Top 10 Comorbidities']"")"
New York -- New York,2020-07-30,221534,18898,34219.0,5272.0,29.88,30.46,False,True,114534.0,17309.0,2049418,24.27,Success!
Wisconsin,2020-07-30,52108,919,7900.0,207.0,16.77,22.92,False,True,47106.0,903.0,368744,6.38,Success!
Wisconsin -- Milwaukee,2020-07-30,19027,383,5331.0,148.0,30.14,38.64,False,False,17689.0,383.0,252321,26.44,Success!
Oregon,2020-07-30,18131,316,674.0,8.0,4.24,2.84,False,True,15903.0,282.0,77789,1.91,Success!
Rhode Island,2020-07-03,16491,960,1592.0,48.0,12.29,6.14,False,False,12950.0,782.0,69254,6.55,Success!
SouthCarolina,2020-07-29,84109,1565,28332.0,642.0,38.21,43.41,False,True,74148.0,1479.0,,,Success!
Tennessee,2020-07-30,102871,1033,19463.0,351.0,18.92,33.98,True,True,,,1117489,16.8,Success!
Maine,2020-07-30,3888,122,869.0,,24.74,,False,True,3512.0,,17881,1.34,Success!
Maryland,2020-07-30,87177,3357,26601.0,1371.0,36.6,41.05,False,False,72689.0,3340.0,1788090,29.78,Success!
Alabama,2020-07-30,83495,1516,23518.0,635.0,42.92,43.46,False,False,54800.0,1461.0,1293186,26.58,Success!
Arkansas,2020-07-30,41759,442,8862.0,115.0,24.45,25.9,False,True,36249.0,444.0,460970,15.41,Success!
Ohio,,,,,,,,False,False,,,1438271,12.35,An error occurred. ... JSONDecodeError('Expecting value: line 1 column 1 (char 0)')
Connecticut,2020-07-29,47717,3550,6491.0,655.0,13.6,18.45,True,False,,,378262,10.56,Success!
