Location,Date Published,Total Cases,Total Deaths,Count Cases Black/AA,Count Deaths Black/AA,Pct Cases Black/AA,Pct Deaths Black/AA,Pct Includes Unknown Race,Pct Includes Hispanic Black,Count Cases Known Race,Count Deaths Known Race,Black/AA Population,Pct Black/AA Population,Status code
Texas,2020-07-22,29588,764,3491,95.0,0.12,0.12,True,False,,,3365783,12.07,Success!
Texas -- Bexar County,2020-07-22,33555,283,464,17.0,6.81,15.32,False,False,6812.0,111.0,146703,7.62,Success!
New York -- New York,2020-07-22,219128,18803,33790,5239.0,30.07,30.43,False,True,112360.0,17217.0,2049418,24.27,Success!
Rhode Island,2020-07-03,16491,960,1592,48.0,12.29,6.14,False,False,12950.0,782.0,69254,6.55,Success!
California - San Francisco,2020-07-21,5459,53,302,5.0,6.42,9.8,False,False,4701.0,51.0,,,Success!
Tennessee,2020-07-22,84417,888,16107,319.0,19.08,35.92,True,True,,,1117489,16.8,Success!
Utah,2020-07-22,35578,260,886,5,2.5,1.92,True,False,,,35862,1.18,Success!
Kentucky,2020-07-22,24540,677,2044,92,12.43,14.69,False,True,16446.0,632.0,354112,7.98,Success!
Arkansas,2020-07-22,35246,380,7521,100,24.57,26.53,False,True,30608.0,377.0,460970,15.41,Success!
California - San Diego,2020-07-22,25107,505,918,19,4.67,3.85,False,False,19655.0,493.0,166412,5.04,Success!
Virginia,2020-07-21,79371,2048,12922,483,16.28,23.58,True,True,,,1613285,19.17,Success!
New Mexico,2020-07-22,17828,591,322,,1.81,,True,False,,,43006,2.06,Success!
Florida -- Miami-Dade County,2020-07-22,92345,1342,8963,,19.52,,False,True,45922.0,,481976,17.75,Success!
Florida -- Orange County,2020-07-22,24700,138,3136,,25.11,,False,True,12491.0,,277193,20.98,Success!
Alabama,2020-07-22,70413,1325,20886,561,43.68,44.38,False,False,47812.0,1264.0,1293186,26.58,Success!
California - Los Angeles,2020-07-21,164870,4213,4391,419,4.64,10.67,False,False,94674.0,3927.0,823987,8.16,Success!
Maryland,2020-07-22,80172,3276,23503,1336,35.5,40.93,False,False,66200.0,3264.0,1788090,29.78,Success!
Mississippi,2020-07-21,47071,1423,20775,717,44.14,50.39,True,True,,,1125834,37.67,Success!
Arizona,2020-07-22,150609,2974,3246.0,86.0,4.31,3.47,False,False,75236.0,2479.0,305259,4.39,Success!
Pennsylvania,2020-07-22,100483,7063,14038,1484,29.99,21.22,False,True,46806.0,6992.0,1423319,11.13,Success!
Florida,2020-07-22,374920,5345,45094,1015,12.03,18.99,True,False,,,3316376,16.1,Success!
Montana,2020-07-22,2813,42,15,,0.53,,True,True,,,4630,0.44,Success!
Vermont,2020-07-22,1366,56,151,0,11.39,0.0,False,True,1326.0,56.0,8058,1.29,Success!
Connecticut,2020-07-21,46203,3527,6375,651,13.8,18.46,True,False,,,378262,10.56,Success!
Kansas,2020-07-22,24104,308,1780,64,9.03,21.33,False,True,19703.0,300.0,169801,5.84,Success!
Colorado,2020-07-22,41698,1771,2027,118,6.17,6.89,False,False,32858.0,1713.0,227938,4.12,Success!
Nebraska,2020-07-22,23486,311,1390,23,7.65,7.74,False,True,18180.0,297.0,90860,4.77,Success!
Michigan,2020-07-22,75171,6056,21592,2415,28.72,39.88,True,False,,,1375424,13.81,Success!
Louisiana,2020-07-22,99354,3558,36693,1803,45.36,51.05,False,True,80885.0,3532.0,1502916,32.23,Success!
California,2020-07-21 00:00:00,413576,7870,11396,660,4.31,8.6,False,False,264380.0,7672.0,2267875,5.79,Success!
Indiana,2020-07-22,58673,2666,6696,377,11.41,14.14,True,True,,,619472,9.33,Success!
Alaska,2020-07-22,2132.0,19.0,49.0,0.0,3.7,0.0,False,True,1323.0,18.0,24129,3.27,Success!
Wisconsin,2020-07-22,44847,865,7066,197,17.43,23.15,False,True,40535.0,851.0,368744,6.38,Success!
Georgia,2020-07-22,152302,3335,39406,1525,25.87,45.73,True,True,,,3239300,31.46,Success!
Washington,2020-07-22,49247,1468,1743,49,5.44,3.47,False,False,32066.0,1413.0,269854,3.7,Success!
New Hampshire,2020-07-22,6295,402,325,9,6.01,2.25,False,False,5404.0,400.0,20516,1.53,Success!
"Washington, DC",2020-07-22,11529,580,5637,428,48.89,73.79,True,True,,,321317,46.94,Success!
Delaware,,,,,,,,False,False,,,209892,22.11,"An error occurred. ... AttributeError(""'numpy.float64' object has no attribute 'split'"")"
Maine,2020-07-22,3723,118,848,,25.35,,False,True,3345.0,,17881,1.34,Success!
Iowa,2020-07-22,40085,812,3288,38,8.2,4.68,True,True,,,109911,3.51,Success!
North Carolina,2020-07-22,105001,1698,17314,536,23.99,32.66,False,True,72174.0,1641.0,2179622,21.46,Success!
Illinois,2020-07-22,165301,7347,27704,2024,16.76,27.55,True,False,,,1824125,14.23,Success!
Idaho,2020-07-22,16322,131,208,2,1.27,1.53,False,True,,,11536,0.68,Success!
Minnesota,2020-07-22,47961,1552,9842,152,20.52,9.79,True,True,,,342186,6.19,Success!
Massachusetts,2020-07-22,114320,8468,10731,693,9.39,8.18,True,False,,,510558,7.48,Success!
Wisconsin -- Milwaukee,2020-07-22,16911,370,4771,147,30.42,39.73,False,False,15682.0,370.0,252321,26.44,Success!
Missouri,2020-07-22,36063,1159,8118,389,31.68,36.22,False,True,25629.0,1074.0,704896,11.57,Success!
