Date Run,Date/Time Run,Location,Date Published,Total Cases,Total Deaths,Count Cases Black/AA,Count Deaths Black/AA,Pct Cases Black/AA,Pct Deaths Black/AA,Pct Includes Unknown Race,Pct Includes Hispanic Black,Count Cases Known Race,Count Deaths Known Race,Black/AA Population,Pct Black/AA Population,Status code
2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,Alabama,2020-08-19,106784.0,1876.0,28664.0,769.0,41.92,42.51,False,False,68376.0,1809.0,1293186.0,26.58,Success!
2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,Alaska,2020-08-19,2731.0,28.0,154.0,0.0,6.31,0.0,False,True,2441.0,28.0,24129.0,3.27,Success!
2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,Arizona,2020-08-19,195557.0,4634.0,4918.0,142.0,4.5,3.55,False,False,109208.0,3997.0,305259.0,4.39,Success!
2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,Arkansas,2020-08-19,54216.0,631.0,11909.0,163.0,24.59,25.83,False,True,48431.0,631.0,460970.0,15.41,Success!
2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,California,2020-08-17 00:00:00,632667.0,11342.0,17615.0,876.0,4.28,8.03,False,False,411365.0,10910.0,2267875.0,5.79,Success!
2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,California - Los Angeles,,,,,,,,False,False,,,823987.0,8.16,"An error occurred. ... KeyError(""['Under Investigation'] not found in axis"")"
2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,California - San Diego,2020-08-19,35376.0,638.0,1344.0,27.0,4.65,4.28,False,False,28876.0,631.0,166412.0,5.04,Success!
2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,California - San Francisco,,,,,,,,False,False,,,,,An error occurred. ... KeyError('Date_Uploaded.Data as of')
2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,Colorado,2020-08-19,53901.0,1900.0,2603.0,126.0,5.67,6.76,False,False,45886.0,1865.0,227938.0,4.12,Success!
2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,Connecticut,2020-08-18,49289.0,3572.0,6770.0,658.0,13.74,18.42,True,False,,,378262.0,10.56,Success!
2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,Delaware,2020-08-19,16643.0,595.0,4330.0,153.0,28.43,26.89,False,False,15228.0,569.0,209892.0,22.11,Success!
2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,Florida,2020-08-19,577891.0,9932.0,75197.0,1812.0,13.01,18.24,True,False,,,3316376.0,16.1,Success!
2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,Florida -- Miami-Dade County,2020-08-19,148093.0,2166.0,12747.0,,14.97,,False,True,85142.0,,481976.0,17.75,Success!
2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,Florida -- Orange County,2020-08-19,33946.0,356.0,4634.0,,24.23,,False,True,19122.0,,277193.0,20.98,Success!
2020-08-19,2020/08/19 19:34:57America/Los Angeles TZ,Georgia,2020-08-19,243982.0,4849.0,62408.0,2114.0,25.58,43.6,True,True,,,3239300.0,31.46,Success!
