Location,Date Published,Total Cases,Total Deaths,Count Cases Black/AA,Count Deaths Black/AA,Pct Cases Black/AA,Pct Deaths Black/AA,Pct Includes Unknown Race,Pct Includes Hispanic Black,Count Cases Known Race,Count Deaths Known Race,Black/AA Population,Pct Black/AA Population,Status code
Illinois,2020-07-24,168457,7385,28136.0,2030.0,16.7,27.49,True,False,,,1824125,14.23,Success!
Louisiana,2020-07-22,103734,3603,36693.0,1803.0,45.36,51.05,False,True,80885.0,3532.0,1502916,32.23,Success!
Washington,2020-07-24,50824,1495,1813.0,49.0,5.41,3.36,False,False,33541.0,1459.0,269854,3.7,Success!
North Carolina,2020-07-24,108995,1746,18298.0,548.0,23.97,32.56,False,True,76335.0,1683.0,2179622,21.46,Success!
New York -- New York,2020-07-24,219641,18836,33868.0,5245.0,30.06,30.43,False,True,112660.0,17237.0,2049418,24.27,Success!
Wisconsin,2020-07-24,46917,878,7333.0,199.0,17.32,23.09,False,True,42331.0,862.0,368744,6.38,Success!
Wisconsin -- Milwaukee,2020-07-24,17655,374,4964.0,147.0,30.36,39.3,False,False,16352.0,374.0,252321,26.44,Success!
Rhode Island,2020-07-03,16491,960,1592.0,48.0,12.29,6.14,False,False,12950.0,782.0,69254,6.55,Success!
Tennessee,2020-07-24,89078,938,17519.0,328.0,19.67,34.97,True,True,,,1117489,16.8,Success!
Maine,2020-07-24,3757,118,854.0,,25.24,,False,True,3384.0,,17881,1.34,Success!
Maryland,2020-07-24,81766,3293,24310.0,1342.0,35.76,40.93,False,False,67980.0,3279.0,1788090,29.78,Success!
Alabama,2020-07-24,74365,1395,21618.0,586.0,43.36,43.93,False,False,49854.0,1334.0,1293186,26.58,Success!
Arkansas,2020-07-24,37249,394,7854.0,105.0,24.42,26.65,False,True,32158.0,394.0,460970,15.41,Success!
Connecticut,2020-07-23,46806,3531,6376.0,653.0,13.62,18.49,True,False,,,378262,10.56,Success!
Michigan,2020-07-24,76458,6068,21758.0,2418.0,28.46,39.85,True,False,,,1375424,13.81,Success!
Montana,2020-07-24,3039,46,17.0,,0.56,,True,True,,,4630,0.44,Success!
Kansas,2020-07-24,25109,326,1844.0,63.0,8.95,19.87,False,True,20609.0,317.0,169801,5.84,Success!
Alaska,2020-07-24,2249.0,19.0,56.0,0.0,4.03,0.0,False,True,1388.0,19.0,24129,3.27,Success!
Massachusetts,2020-07-24,114985,8498,10782.0,696.0,9.38,8.19,True,False,,,510558,7.48,Success!
Florida -- Miami-Dade County,2020-07-24,98430,1370,9382.0,,19.13,,False,True,49045.0,,481976,17.75,Success!
Florida -- Orange County,2020-07-24,25952,164,3314.0,,25.17,,False,True,13167.0,,277193,20.98,Success!
Iowa,2020-07-24,41334,825,3330.0,38.0,8.06,4.61,True,True,,,109911,3.51,Success!
Missouri,2020-07-24,39352,1178,8632.0,392.0,28.93,34.42,False,True,29833.0,1139.0,704896,11.57,Success!
Utah,2020-07-24,36962,273,925,5,2.5,1.83,True,False,,,35862,1.18,Success!
Mississippi,2020-07-23,49663,1463,21600,734,43.49,50.17,True,True,,,1125834,37.67,Success!
Texas -- Bexar County,2020-07-24,34932,313,464,17.0,6.81,15.32,False,False,6812.0,111.0,146703,7.62,Success!
Minnesota,2020-07-24,49488,1566,10167,150,20.54,9.58,True,True,,,342186,6.19,Success!
Texas,2020-07-24,31048,776,3822,96,0.12,0.12,True,False,,,3365783,12.07,Success!
Delaware,,,,,,,,False,False,,,209892,22.11,An error occurred. ... HTTPError('504 Server Error: Gateway Time-out for url: https://myhealthycommunity.dhss.delaware.gov/locations/state/')
Nebraska,2020-07-24,24174,316,1438,24,7.71,7.92,False,True,18648.0,303.0,90860,4.77,Success!
California,2020-07-23 00:00:00,435334,8186,11969,681,4.31,8.56,False,False,277526.0,7951.0,2267875,5.79,Success!
Vermont,2020-07-24,1385,56,159,0,11.84,0.0,False,True,1343.0,56.0,8058,1.29,Success!
New Mexico,2020-07-24,18475,601,336,,1.82,,True,False,,,43006,2.06,Success!
Florida,2020-07-24,397470,5653,47575,1087,11.97,19.23,True,False,,,3316376,16.1,Success!
"Washington, DC",2020-07-23,11571,581,5681,429,49.1,73.84,True,True,,,321317,46.94,Success!
California - San Francisco,2020-07-23,5679,56,321,5,6.61,9.43,False,False,4857.0,53.0,,,Success!
Colorado,2020-07-24,42980,1790,2059,119,6.13,6.89,False,False,33593.0,1727.0,227938,4.12,Success!
California - San Diego,2020-07-24,26098,524,961,20,4.7,3.93,False,False,20429.0,509.0,166412,5.04,Success!
Idaho,2020-07-24,17264,141,213,3,1.23,2.13,False,True,,,11536,0.68,Success!
Pennsylvania,2020-07-24,102602,7101,14370,1484,29.91,21.22,False,True,48046.0,6992.0,1423319,11.13,Success!
Arizona,2020-07-24,156301,3142,3361.0,93.0,4.32,3.56,False,False,77811.0,2610.0,305259,4.39,Success!
Georgia,2020-07-24,161401,3442,41874,1577,25.94,45.82,True,True,,,3239300,31.46,Success!
Virginia,2020-07-21,79371,2048,12922,483,16.28,23.58,True,True,,,1613285,19.17,Success!
Indiana,2020-07-24,60598,2687,6820,379,11.25,14.1,True,True,,,619472,9.33,Success!
New Hampshire,2020-07-24,6375,407,329,9,6.02,2.23,False,False,5462.0,404.0,20516,1.53,Success!
Kentucky,2020-07-24,25931,691,2107,95,12.71,14.73,False,True,16582.0,644.0,354112,7.98,Success!
California - Los Angeles,2020-07-23,168757,4300,4514,429,4.64,10.69,False,False,97305.0,4014.0,823987,8.16,Success!
